City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
216,Maryville,US,86.0,scattered clouds,35.76,-83.97,Holiday Inn Express & Suites Alcoa (Knoxville Airport)
221,Front Royal,US,89.01,broken clouds,38.92,-78.19,Hampton Inn Front Royal
224,Labuhan,ID,76.35,few clouds,-6.88,112.21,bador sepret
226,Virginia Beach,US,89.6,broken clouds,36.85,-75.98,Hilton Virginia Beach Oceanfront
227,Sabana Grande De Boya,DO,87.8,overcast clouds,18.95,-69.79,Balcones De Boya
228,Ribeira Grande,PT,75.2,scattered clouds,38.52,-28.7,Quinta da Meia Eira
229,Pacific Grove,US,81.0,smoke,36.62,-121.92,Lovers Point Inn
231,Sokoto,NG,80.44,moderate rain,13.06,5.24,RG Palace
233,Bandarbeyla,SO,75.87,overcast clouds,9.49,50.81,REER XOOSHLE GROUP
235,Gwadar,PK,82.08,broken clouds,25.12,62.33,Sadaf Resort
236,Namatanai,PG,79.5,light rain,-3.67,152.43,Namatanai Hotel
238,Mastic Beach,US,82.99,clear sky,40.77,-72.85,Brushwood House by Smith Point Beach
241,Porbandar,IN,81.48,light rain,21.64,69.61,Lords Inn Porbandar
243,Aswan,EG,87.49,clear sky,24.09,32.91,Nuba Nile
248,Komsomolskiy,UZ,75.2,clear sky,40.43,71.72,Ikathouse
251,Faanui,PF,76.64,few clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
259,Itarema,BR,78.15,few clouds,-2.92,-39.92,Windvillage
261,Marion,US,87.01,scattered clouds,39.77,-86.16,Hilton Indianapolis Hotel & Suites
262,Makakilo City,US,86.0,broken clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
267,Morant Bay,JM,89.6,broken clouds,17.88,-76.41,Whispering Bamboo Cove Resort
268,Susanville,US,86.0,haze,40.42,-120.65,Red Lion Inn & Suites Susanville
269,Huoqiu,CN,77.41,clear sky,32.34,116.27,GreenTree Inn AnHui LuAn HuoQiu JianXing Road Express Hotel
274,Cintalapa,MX,76.8,moderate rain,16.7,-93.73,Casa Blanca Hotel Hacienda
